ESSAY_ID,PARA_NUM,SENTENCE,PRONOUN_ISSUE,RECOMMENDATION
003,1,It can serve a productive role when they support the teacher rather than replacing the teacher.,"The pronoun ""they"" does not clearly agree with the singular subject implied by ""It"" and makes the reference unclear.","AI can serve a productive role when it supports the teacher rather than replacing the teacher."
003,2,A second reason for caution is that AI can interfere with real learning when schools use it without clear limits.,None,No change needed.
003,2,"Lee (2025) said that AI has changed the method of cheating more than the amount of cheating, which is an important distinction.",None,No change needed.
003,2,"In data from public and charter high schools, 11% of students in 2024 and 15% in 2025 reported using AI to complete an entire assignment, while larger numbers used it to generate ideas or revise work (Lee, 2025).",None,No change needed.
003,2,These findings show that student use is not all the same.,None,No change needed.
003,2,"However, they also said that schools cannot ignore the problem.",The pronoun "they" is unclear because it does not clearly refer to a plural noun in the previous sentence.,"However, this evidence also shows that schools cannot ignore the problem."
003,2,"When students rely on AI to make a work for them, writing, analysis, and problem solving may become lower.",None,No change needed.
003,2,"UNESCO said that the not enough to regulation leaves institutions unprepared and users unprotected (Miao & Holmes, 2023).",None,No change needed.
003,2,Responsible use therefore requires more than excitement about innovation.,None,No change needed.
003,3,Clear policy and training are the conditions that can make AI educationally useful instead of harmful.,None,No change needed.
003,3,"The AI Education Project's aiEDU Pulse found that more than 80% of educators wanted AI-related professional development, while 75% supported teaching students about AI itself (AI Education Project, 2024).",None,No change needed.
003,3,"At the same time, 56.9% believed AI was more likely to widen achievement gaps than narrow them (AI Education Project, 2024).",None,No change needed.
003,3,Them results suggest that educators do not just want more technology; they want you to make more guidance.,"The words ""Them"" and ""you"" create unclear and inconsistent pronoun use for academic writing.","These results suggest that educators do not simply want more technology; they want better guidance."
003,3,"UNESCO's guidance supports this approach by calling for privacy protection, ethical validation, and age-appropriate policy frameworks (Miao & Holmes, 2023).",None,No change needed.
003,3,AI literacy can also help students understand when AI is a useful assistant and when it becomes a substitute for thought.,None,No change needed.
004,1,Social media is good when adolescents use it to maintain relationships and express themselves.,None,No change needed.
004,1,"The U.S. Department of Health and Human Services (2023) said young people use social media to find community and explore their identities.",None,No change needed.
004,1,Social media is an effective way to advertise, too.,None,No change needed.
004,1,"The Surgeon General's advisory said that many young people report feeling good (U.S. Department of Health and Human Services, 2023).",None,No change needed.
004,1,Social media is not only harmful.,None,No change needed.
004,2,"However, the bad side of social media is easy to see.",None,No change needed.
004,2,"The U.S. Department of Health and Human Services (2023) said that adolescents who spend more than three hours a day on social media may have double the risk of poor mental health outcomes.",None,No change needed.
004,2,"The same advisory highlights concerns about cyberbullying, harmful content, poor sleep, and body image pressure.",None,No change needed.
004,2,I often have bad sleep because of my social media using too much it is bad.,"The first-person pronoun ""I"" shifts away from the essay's general academic perspective on adolescents.","Excessive social media use can also contribute to poor sleep, but this point should be expressed generally rather than in first person."
004,2,These risks are not only theoretical.,None,No change needed.
004,2,"*The Washington Post* (2025) said that 48% of teens now think social media have a mostly negative effect on people their age, and 45% say they spend too much time on it.",None,No change needed.
004,2,This shift is important because it suggests that even frequent users more and more know the bad emotional of too much exposure and interruption.,None,No change needed.
004,3,"Because social media produces both good and bad things, the biggest response is neither panic nor passivity.",None,No change needed.
004,3,Alluhidan et al. (2024) said that adolescents said about negative experiences most often.,None,No change needed.
004,3,But they also used social media to find friends and information.,The pronoun "they" is not clearly anchored because the previous sentence is awkward and does not cleanly establish the subject.,"But adolescents also used social media to seek connection, support, and information."
004,3,This mixed pattern suggests that the problem is not simply the existence of social media, but the conditions under which it is used.,None,No change needed.
004,3,"Schools and families should try good habits such as time limits and good sleep routines, while technology companies should reduce bad design features and improve safety protections.",None,No change needed.
004,3,The Surgeon General's advisory also said that collective action from policymakers, companies, caregivers, and young people is important.,None,No change needed.
004,3,"I don't assuming that adolescents alone can manage these risks (U.S. Department of Health and Human Services, 2023).","The first-person pronoun ""I"" is inconsistent with the essay's academic voice and the sentence does not maintain clear reference.","The Surgeon General's advisory also emphasizes collective action rather than assuming that adolescents alone can manage these risks (U.S. Department of Health and Human Services, 2023)."
005,1,Supporters of school uniforms said that it simplify daily school life.,"The pronoun ""it"" is singular and does not clearly match the plural noun ""school uniforms"".","Supporters of school uniforms said that uniforms simplify daily school life."
005,1,It also reduce pressure about fashion.,"The pronoun ""It"" is singular and should match the plural idea of uniforms.","They also reduce pressure about fashion."
005,1,McCarthy (2024) said people believe uniforms can improve life.,None,No change needed.
005,1,These argument are understandable because uniforms can make mornings easier for families.,None,No change needed.
005,1,A shared dress standard can create a big visual identity for a school.,None,No change needed.
005,1,Uniforms may appear to offer an efficient way to encourage order and equality.,None,No change needed.
005,2,"However, research does not support the claim that uniforms lead to big improvement.",None,No change needed.
005,2,"Researchers said that uniforms were not a good solution for truancy, behavior problems, substance use, or academic achievement.",None,No change needed.
005,2,This finding is important because many uniform policies are promoted as if they will directly improve student performance.,None,No change needed.
005,2,More recent evidence agrees.,None,No change needed.
005,2,"In a report on France's recent school uniform experiment, Piquet (2026) said that an official assessment released on May 12, 2026 found only limited effects on student behavior and learning, with mixed results for the school climate.",None,No change needed.
005,2,Uniforms may change appearance more easily than they change the deeper causes of school problems.,None,No change needed.
005,3,"In addition, uniforms can create practical and social problems and it is important for schools to think about them.",The pronoun "it" is vague and the sentence reads more clearly without it.,"In addition, uniforms can create practical and social problems that schools should not ignore."
005,3,"McCarthy (2024) noted that uniforms can place a big financial burden on families, especially when schools need specific things from approved sellers.",None,No change needed.
005,3,"Uniforms may also stop student self-expression, which is a big issue during the school years, when identity is still developing.",None,No change needed.
005,3,We want students to develop a wonderful identity in school.,"The pronoun ""We"" shifts to first person and is inconsistent with the essay's academic voice.","Student identity should be allowed to develop during the school years, but this point should be expressed without first person."
005,3,"Furthermore, some uniform designs are not same comfortable for all students.",None,No change needed.
005,3,"Weale (2024) said about Cambridge research suggesting that uniforms may reduce physical activity among younger children, especially girls.",None,No change needed.
005,3,"If a policy makes movement less comfortable or can stop active play, then that policy may work against schools' big educational and health goals.",None,No change needed.
006,1,Club activities can help students feel close.,None,No change needed.
006,1,"In general, club activities are organized school-related experiences outside school work and they have clubs, arts, and sports (Wikipedia contributors, 2025).",None,No change needed.
006,1,This part of school life is important because it gives students goals and we have a community within a large institution.,"The pronoun ""we"" shifts to first person and is inconsistent with the essay's general academic perspective.","This part of school life is important because it gives students a shared purpose and a smaller community within a large institution."
006,1,For some students, that connection may be very important.,None,No change needed.
006,1,Researchers said that among bad treatment children, participation in school clubs help them graduate by 2.54 times.,None,No change needed.
006,1,This means that students can graduate even if they have a bad time.,None,No change needed.
006,1,But I am worried if I will graduate.,"The pronoun ""I"" shifts to first person and is inconsistent with the essay's academic voice.","However, this finding does not mean every club guarantees success."
006,1,It suggests that school clubs can make a connection with school strong for poor students.,None,No change needed.
006,2,"In addition, the benefits of club activities are social and emotional.",None,No change needed.
006,2,Many people think that if they join several activities will improve my grades.,"The pronoun phrase mixes general people with first-person ""my"", creating inconsistent reference.","Many people think that joining several activities will naturally improve grades."
006,2,O'Flaherty et al. (2022) researched club activities.,None,No change needed.
006,2,He found that the positive effects became smaller than people think.,"The singular pronoun ""He"" does not match the plural author reference in the previous sentence.","They found that the positive effects became smaller than people think."
006,2,"Sports clubs still has beneficial effects for mental health, while art clubs had better interaction between people.",None,No change needed.
006,2,"So, club activities are cannot replace academic work.",None,No change needed.
006,2,And I think club activities are more important for friends.,"The pronoun ""I"" shifts to first person and is inconsistent with the essay's academic style.","Their stronger value lies in helping students develop confidence, healthier peer environments, and a more positive school experience."
006,2,The benefit of clubs lies in helping students build confidence and make good friends.,None,No change needed.
006,3,"But sometimes, club activities don't give benefit because students can have too much work.",None,No change needed.
006,3,"Owens and Weiss (2017) said young people don't get enough sleep because of club activities, lots of homework and go to school early.",None,No change needed.
006,3,Lack of sleep can damage attention.,None,No change needed.
006,3,It weakens the benefits of clubs.,The pronoun "It" could refer more clearly to the preceding noun phrase.,Lack of sleep weakens the benefits of clubs.
006,3,"Fagan et al. (2022) found that non-competitive school sport stop drug use, but other sport was not clear.",None,No change needed.
006,3,Schools should not judge success by the number of activities alone.,None,No change needed.
006,3,"Instead, they should focus on whether clubs are meaningful, balanced, and connected to student well-being.",The pronoun "they" should be anchored more clearly to schools in the previous sentence.,"Instead, schools should focus on whether clubs are meaningful, balanced, and connected to student well-being."
007,1,Convenience stores are important because they are close to the place people live.,None,No change needed.
007,1,"The U.S. Department of Agriculture's Economic Research Service explains that its Food Access Research Atlas measures how easy low-income people can reach supermarkets (U.S. Department of Agriculture, Economic Research Service [USDA ERS], 2025).",None,No change needed.
007,1,This big concern about distance can help explain why small neighborhood stores are important.,None,No change needed.
007,1,About 14% of SNAP benefits in 2024 were spent at convenience stores, which are easier to reach.,None,No change needed.
007,1,"Convenience stores reduce the time and transport barriers that can make regular shopping difficult for working families, older adults, and residents of food deserts.",None,No change needed.
007,2,"Convenience stores are also important because they can make neighborhood economies strong and give important services, not just snacks.",None,No change needed.
007,2,Durbin (2025) reports that conveniece stores lose sales when SNAP benefits were delayed.,None,No change needed.
007,2,This shows that these stores are related with local household spending.,None,No change needed.
007,2,The same article describes Kansas City convenience stores.,The pronoun phrase "The same article" depends on the previous source reference, but the next sentence shifts to singular "It" unclearly.,"The same article describes Kansas City convenience stores that stocked produce through a nonprofit partnership."
007,2,"It stocked goods from a nonprofit partnership, which means that some stores change to meet community needs and don't rely only on junk food sales.",The pronoun "It" is unclear because it does not clearly refer to the intended plural stores or store example.,"These stores stocked produce through a nonprofit partnership, which suggests that some stores are adapting to community needs instead of relying only on junk food sales."
007,2,"Small stores are open later than supermarkets and we can get milk, bread, fruit, or cooked food late at night.","The pronoun ""we"" shifts to first person and is inconsistent with the essay's general academic perspective.","Small stores are open later than supermarkets and provide quick access to milk, bread, fruit, or prepared food during irregular hours."
007,2,A late-night worker can use a convenience store when big supermarkets are closed.,None,No change needed.
007,2,So convenience stores are important for daily life.,None,No change needed.
007,3,"However, convenience stores have important disadvantages.",None,No change needed.
007,3,Research on rural food environments found that grocery stores were better than convenience stores for getting healthy food.,None,No change needed.
007,3,"Supermarkets have more stronger nutritious food than convenience stores (McCormack et al., 2021).",None,No change needed.
007,3,"So people can reach convenience stores easily, but it does not always have healthy food.",The pronoun "it" does not clearly agree with the plural noun "convenience stores".,"So people can reach convenience stores easily, but they do not always offer healthy food."
007,3,It is important to have healthy food to raise a young children.,None,No change needed.
007,3,"So, I think that communities that use convenience stores have bad diets.","The pronoun ""I"" shifts to first person and is inconsistent with the essay's academic voice.","As a result, communities that depend too heavily on convenience stores may still experience poor diet quality."
007,3,"Convenience stores can help reduce distance barriers, but they do not help people have a good diet.",None,No change needed.
008,1,Anime and manga now function as a useful international business as well as an art form.,None,No change needed.
008,1,"The *Financial Times* showed that the global anime market reached 3.4 trillion yen in 2023, and more than half of anime revenue came from outside Japan (Financial Times, 2025).",None,No change needed.
008,1,That figure showed that anime is part of the global entertainment economy, not a small domestic product.,None,No change needed.
008,1,"Matt Alt (2025) showed that popular manga series are licensed for animation and then streamed internationally, creating a cycle in which books promote shows and shows promote books.",None,No change needed.
008,1,"This relationship showed why comics and shows such as *Naruto* and *Demon Slayer* are international.",None,No change needed.
008,1,"Therefore, anime and manga succeed not only because of artistic appeal but also because they reinforce each other commercially.",None,No change needed.
008,2,Anime and manga also create cultural connections.,None,No change needed.
008,2,"According to the Anime Tourism Association, its mission is to organize ""Japanese Anime 88-Spots"" and connect local regions, companies, and content holders in order to welcome tourists and encourage new economic growth (Anime Tourism Association, n.d.).",None,No change needed.
008,2,"Also, anime can foster connections between people in a local area because people from the local area can sometimes come from different cultures and make Japanese anime more popular around the world.",None,No change needed.
008,2,This goal shows how fictional stories can change the local area in a good way.,None,No change needed.
008,2,"Fans often want to visit the landscapes, shrines, train stations, or neighborhoods where an anime series was based on.",None,No change needed.
008,2,"In addition, this tourism introduces international visitors to local Japanese communities that might otherwise receive less attention.",None,No change needed.
008,2,"As a result, anime and manga can act as bridges between media consumption and regional development.",None,No change needed.
008,3,"However, the success of anime and manga brings serious costs.",None,No change needed.
008,3,"Alt (2025) describes the world of *Weekly Shonen Jump* as one of relentless deadlines, intense reader rankings, and heavy physical and mental pressure on creators.",None,No change needed.
008,3,"He notes that serialized artists can feel trapped in a constant cycle of ""next, next, next,"" and that health concerns have pushed the industry to create more support systems.",The pronoun "He" refers back to Alt, but repeating the name would make the reference clearer in formal academic writing.,"Alt notes that serialized artists can feel trapped in a constant cycle of ""next, next, next,"" and that health concerns have pushed the industry to create more support systems."
008,3,"This evidence suggests that global demand may reward speed and dependable franchises more than experimentation.",None,No change needed.
008,3,This means that maybe the original idea of anime is getting lost.,None,No change needed.
008,3,Like some people can't create new things.,None,No change needed.
008,3,"In the same article, Alt argues that reader surveys and franchise logic can encourage sameness in content, even while they produce major hits.",None,No change needed.
008,3,"However effective this system may be in business terms, it risks exhausting artists and narrowing the range of stories that reach audiences.",None,No change needed.
009,1,Video games can help brain development.,None,No change needed.
009,1,"Mayer (2022) reports on a JAMA Network Open study of more than 2,200 children ages only nine and ten and he found that children who played video games had stronger performance on memory tests.",The pronoun "he" is unclear because it does not clearly refer to the named source or study author in the sentence.,"Mayer (2022) reports on a JAMA Network Open study of more than 2,200 children ages nine and ten that found stronger performance on memory tests."
009,1,"So I think that playing games can be good for children.","The pronoun ""I"" shifts to first person and is inconsistent with the essay's academic voice.","However, the results still suggest that games can involve problem solving rather than passive screen use."
009,1,"This information does not prove that video games caused brain development (Mayer, 2022).",None,No change needed.
009,1,"So, the results still suggest that games can involve problem solving rather than passive screen use.",None,No change needed.
009,2,Video games can also make social connection stronger among teenagers.,None,No change needed.
009,2,"56% of U.S. teenagers say games help their problem-solving skills, 47% say games help them build friendships, and 41% say games make it easier to work with other people.",None,No change needed.
009,2,"In addition, Lenhart (2015) found that 78% of teenagers felt more connected to people they already knew when they played online together.",None,No change needed.
009,2,"So, this evidence is important because it means that gaming is not always by yourself.",None,No change needed.
009,2,Many games must have cooperation and regular communication.,None,No change needed.
009,2,Communication is important for teenagers when they are growing up.,None,No change needed.
009,2,Multiplayer games ask players to plan strategies and divide tasks.,None,No change needed.
009,2,"So gaming can be a real social space and not only an escape from social life.",None,No change needed.
009,3,"However, we have to have a good balance of gaming.","The pronoun ""we"" shifts to first person and is inconsistent with the essay's academic voice.","However, the positive case for video games becomes weaker when gaming loses balance."
009,3,"41% of teenagers say games have damaged the amount they sleep, and 43% said about harassment from other people.",None,No change needed.
009,3,These findings show that the gaming can cause problems even if people enjoy benefits from it.,None,No change needed.
009,3,I think we must be careful of the big problems because of the games.,"The pronouns ""I"" and ""we"" shift to first person and are inconsistent with the essay's academic style.","Therefore, the main lesson is not that video games are inherently dangerous, but that excessive play can become harmful."
009,3,The World Health Organization (n.d.) also recognizes sometimes people continue to play games even if it has negative effects on them.,The pronoun "it" is unclear because it does not clearly refer to a singular antecedent.,"The World Health Organization (n.d.) also recognizes gaming disorder as continued play despite negative consequences."
009,3,The WHO adds that this problem affects only a small proportion of gamers.,None,No change needed.
009,3,"So, the main lesson is not that video games are only dangerous, but playing too much can become damage when it stops people to rest, study, or make good friends.",None,No change needed.
010,1,Music festivals are important because they help build community.,None,No change needed.
010,1,"In New Zealand, Henry Oliver (2026) describes festivals as a cultural rite of passage.",None,No change needed.
010,1,He notes that they are also launch pads for new artists.,The pronoun "He" refers back to Oliver, but repeating the name would make the reference clearer in formal academic writing.,"Oliver notes that festivals are also launch pads for new artists."
010,1,That role matters because festivals do not only show famous performers; they also give small acts a chance to reach a big audience.,None,No change needed.
010,1,Festivals bring together different people together even if they have different ages, neighborhoods, or tastes.,None,No change needed.
010,1,Even when the music is the main thing, the event can still create a feeling of being together with new people.,None,No change needed.
010,1,"So, the cultural value of festivals is not only in entertainment but also in the networks and opportunities they create.",None,No change needed.
010,2,Music festivals also make economic benefits for host cities.,None,No change needed.
010,2,Treefort Music Fest 2025 supported 128799 jobs.,None,No change needed.
010,2,"It also made about $4.7 million in labor income, and made roughly $15.8 million across Idaho.",The pronoun "It" is vague because repeating the festival or report would make the reference clearer.,"The festival also generated about $4.7 million in labor income and produced roughly $15.8 million in output across Idaho."
010,2,The report said it made about $1.4 million in taxes.,The pronoun "it" is vague because it does not clearly identify whether the festival or report generated the tax revenue.,"The same report estimates that the festival supported about $1.4 million in tax revenue."
010,2,These figures show that money from festivalds also comes from hotels, restaurants, and transport.,None,No change needed.
010,2,Festivals get attention from leaders who want to make tourism stronger.,None,No change needed.
010,2,"So, the argument is stronger when the benefits can reach local workers and businesses.",None,No change needed.
010,2,"So, festivals that make both the music scene and also the economy stronger has stronger public support.",None,No change needed.
010,3,Music festivals face many problems.,None,No change needed.
010,3,"Leah Thomas (2023) shows that even a well-known festival such as Coachella needs many systems for trash, and reducing plastic pollution needs policy changes.",None,No change needed.
010,3,"In addition, Jim Ottewill (2026) reports that festivals discussed in the UK Parliament generate 25,800 tonnes of waste, 22,876 tonnes of CO2, and use 185 million litres of water every year.",None,No change needed.
010,3,"The same article offers evidence that improvement is possible: Massive Attack's 2024 Act 1.5 event reduced energy-related greenhouse gas emissions by 98 percent and made an 89 percent recycling rate (Ottewill, 2026).",None,No change needed.
010,3,"Money is also part of the problem, since Oliver (2026) notes that many independent festivals are struggling to survive.",None,No change needed.
010,3,"So, festivals should be judged not only by their lineups but also by how seriously organizers address waste, transport, and long-term viability.",None,No change needed.
