word,freq
science,1058
develop,1057
moreover,1056
equal,1056
city,1056
identity,1055
choice,1054
majority,1052
ratio,1052
conclusion,1052
added,1051
8,1051
conflict,1046
eu,1045
presence,1043
exchange,1040
remains,1038
air,1038
rates,1035
causes,1034
away,1033
complete,1030
1993,1030
phase,1029
side,1028
paper,1027
definition,1024
normal,1024
improve,1021
full,1018
scale,1018
condition,1018
things,1015
prices,1011
ones,1010
aim,1010
think,1005
essential,1005
goods,1004
matter,1004
held,1001
consumers,998
decisions,998
achieved,997
america,997
larger,994
materials,994
security,993
private,993
affected,990
mentioned,989
heat,988
existence,988
claim,986
samples,986
techniques,985
exist,985
observed,984
instance,984
attention,983
supply,982
providing,981
external,979
farm,978
easily,975
events,974
court,972
20,972
space,970
united,969
attempt,968
reality,968
input,967
speed,967
organic,966
1992,965
principle,965
argue,963
independent,960
takes,959
measure,958
participants,958
12,956
white,956
allowed,955
region,954
five,953
course,952
training,952
close,951
tourism,950
actions,948
north,948
included,947
character,946
lines,945
failure,943
blood,943
stated,941
actual,940
purpose,940
interests,939
living,939
old,934
principles,934
task,933
himself,932
target,931
th,930
internet,930
h,930
application,926
outside,923
identify,922
reader,922
relevant,920
mainly,919
authority,918
determined,918
examples,917
run,917
reading,916
internal,916
your,915
primary,915
existing,915
union,915
length,913
regarding,911
deal,911
east,910
placed,910
1990,909
literature,908
maximum,908
introduction,907
china,907
stress,905
responsibility,905
pain,904
markets,903
series,902
object,902
ed,901
firms,900
presented,900
maintain,899
rule,898
original,898
patient,898
hard,897
element,897
self,896
t,896
weight,896
probably,895
resulting,894
previously,894
l,893
frequency,893
sector,892
f,892
concerned,891
advantage,891
believed,891
benefit,889
measured,889
house,889
e,888
showed,887
comparison,886
contrast,883
efficiency,883
note,882
forces,882
institutions,880
move,879
accurate,878
pp,877
1991,876
property,875
models,874
medical,873
properties,872
building,871
works,870
structures,869
interaction,868
scientific,867
centre,866
written,864
firstly,863
capacity,863
young,860
strength,858
relative,854
occurs,851
popular,851
correct,850
distance,849
freedom,849
interpretation,849
party,849
practical,847
sources,846
felt,843
resistance,841
lives,841
variable,840
sites,840
religious,839
womens,838
leads,837
managers,837
15,834
leading,833
functions,833
milk,832
face,831
offer,830
consumer,828
million,828
software,828
perspective,827
travel,827
g,825
numbers,825
meant,823
today,822
middle,822
fully,822
claims,819
corporate,818
alternative,818
prevent,817
unit,817
de,817
code,816
plant,816
follows,813
respect,812
name,812
computer,812
job,811
possibility,810
beginning,810
strategies,810
going,809
england,808
return,807
requires,805
discussion,805
9,804
standards,803
measures,803
linear,803
britain,802
changing,801
concentration,800
consequently,799
remain,798
user,798
south,798
11,797
parts,797
want,795
variety,793
suitable,792
truth,792
came,792
fit,791
threat,791
behind,790
historical,790
half,789
kind,788
interesting,788
framework,788
reduction,787
humans,786
balance,783
writing,783
0,781
school,780
slightly,780
require,780
hotel,780
reference,779
doing,779
significantly,778
audience,777
competitive,776
media,775
changed,775
avoid,774
objective,773
etc,773
contract,773
approximately,772
fundamental,772
online,772
statement,772
planning,771
brain,771
responsible,770
indicates,769
introduced,766
k,765
crucial,765
completely,764
proposed,764
keep,764
consideration,762
organisations,759
firm,759
shall,759
beyond,757
notion,757
fixed,755
characters,755
relationships,754
novel,754
objects,754
lot,753
giving,752
earlier,752
follow,752
opportunity,749
plan,749
concern,747
dna,747
views,746
smaller,744
pattern,744
brought,744
chosen,744
religion,744
continue,743
start,743
days,743
debate,743
additional,741
efficient,741
aspect,740
york,740
designed,739
increasingly,739
considering,739
story,739
errors,738
really,735
creating,734
via,734
hours,733
formed,733
belief,733
technique,732
contact,732
easy,732
fall,732
lost,732
roles,731
growing,730
member,730
structural,729
followed,729
soil,728
protection,727
took,726
hypothesis,726
possibly,725
explained,724
experiences,723
decrease,722
significance,721
occurred,718
style,718
aware,717
woman,716
noted,714
love,714
animals,712
late,712
aims,712
step,712
try,711
active,711
mr,711
commission,710
criminal,709
investigation,708
practices,705
pay,705
similarly,705
allowing,704
effectively,704
john,704
search,703
expression,703
showing,702
requirements,702
certainly,702
figures,702
sufficient,701
tend,700
extremely,699
read,699
images,699
answer,698
employment,695
separate,695
civil,694
crisis,693
display,692
list,690
formation,689
memory,687
laws,686
merely,686
farmers,685
shift,685
damage,684
tests,684
1989,683
head,683
patterns,683
pg,683
load,682
west,680
acid,680
comes,679
implementation,678
mental,678
volume,677
stages,677
electron,677
ideal,675
construction,674
consumption,672
western,672
prior,672
linked,671
violence,671
50,670
sex,670
25,669
plants,669
involves,668
meet,668
feature,667
30,667
progress,666
top,665
week,665
months,664
bank,662
indicate,661
y,660
alone,660
opportunities,660
findings,658
sexual,658
accepted,657
reducing,657
rest,657
concerning,657
testing,656
let,656
council,655
poem,655
apparent,654
governments,653
selection,653
largely,652
agricultural,652
car,652
room,652
necessarily,651
intervention,651
stable,650
network,650
becoming,648
shape,648
theoretical,648
live,647
procedure,647
classes,645
bring,644
improved,643
nation,643
ever,643
base,643
peoples,642
brand,641
tasks,641
emphasis,640
roman,639
currently,636
whose,635
setting,635
tool,635
parties,635
sometimes,634
13,634
examine,634
components,633
nations,632
direction,632
colour,632
perception,631
opinion,630
authors,630
mother,629
motor,629
symptoms,628
desire,628
gave,627
hold,627
obvious,627
apply,626
decided,626
latter,626
wide,626
circumstances,624
includes,624
prove,624
trying,623
ground,623
unemployment,623
regional,621
experimental,618
explanation,618
fluid,618
approaches,617
supported,616
location,616
arguments,615
art,615
voltage,615
respectively,614
marriage,614
received,613
red,613
concerns,612
gene,612
operation,611
genetic,611
agreement,611
core,610
situations,610
reach,609
special,609
nothing,609
tax,608
velocity,608
exists,607
depends,606
yield,606
perceived,605
integration,605
implications,605
contains,604
impossible,604
consistent,604
concepts,602
commercial,602
safety,598
heart,598
causing,598
powerful,597
web,597
french,597
decline,594
assessment,594
represent,593
initially,593
assumed,592
choose,592
stock,591
nevertheless,591
ltd,591
strain,591
website,590
began,588
greek,588
14,587
chinese,587
journal,586
event,586
refers,586
psychological,586
spread,585
contemporary,585
recorded,584
unable,584
goes,584
dependent,583
march,583
division,583
david,582
housing,582
democracy,582
obtain,581
welfare,580
distinct,580
reasonable,579
represents,579
film,579
picture,578
objectives,577
formal,577
animal,576
performed,575
controlled,574
creation,574
compare,574
expressed,573
huge,573
zero,573
author,573
transport,572
detailed,571
consequences,570
define,570
examination,570
acts,570
six,569
parents,569
divided,569
military,569
communities,568
proteins,568
goals,568
establish,568
researchers,567
percentage,565
matrix,564
books,564
influenced,563
cash,562
accuracy,562
evolution,562
sound,561
cambridge,561
estimated,560
link,560
distinction,560
curve,559
transfer,559
accept,559
describes,559
description,557
address,556
beliefs,555
18,555
resulted,555
100,555
minimum,554
vital,553
units,553
evident,552
serious,551
organization,551
forced,551
beam,551
big,550
signal,550
1988,549
highest,549
continued,549
believes,549
secondly,546
experienced,546
gods,546
proved,545
cycle,545
layer,545
failed,545
attempts,544
manner,543
producing,543
exercise,543
charge,543
build,542
projects,542
items,541
france,541
reached,541
industrial,541
smith,541
contain,541
professional,541
genes,541
am,540
unique,540
trend,538
ultimately,537
regard,537
criticism,536
extra,536
combination,536
moment,536
beneficial,535
processing,535
started,534
1985,534
variation,534
former,534
trust,533
cooperation,533
carry,532
describe,532
ii,531
16,531
notes,531
machine,530
cover,530
fear,529
conducted,529
depending,529
details,529
representation,529
fairly,528
duty,528
plays,528
widely,527
suggesting,527
regions,527
climate,526
manufacturing,526
improvement,525
aid,525
1986,525
learn,525
wider,524
inflation,524
component,524
foods,523
fair,523
thing,523
dominant,523
electrons,523
1987,522
attitudes,522
cultures,522
viewed,522
begin,521
motivation,521
alcohol,521
measurement,521
shared,521
kept,520
peak,520
chain,520
correlation,519
removed,519
employee,519
expectations,519
india,518
societies,518
21,517
primarily,517
unlikely,516
manager,516
illness,516
commonly,516
experiments,516
implies,516
males,515
mechanism,515
biological,514
24,513
employed,513
narrative,513
reported,512
interview,512
built,511
diet,511
oil,510
background,510
strategic,510
challenge,510
reform,510
tested,510
criteria,510
germany,509
successfully,509
asia,509
assumption,508
expansion,508
represented,508
eventually,507
awareness,507
edition,507
lord,507
operations,506
entirely,506
connected,506
birth,505
analysed,505
steel,504
wrong,504
asked,503
inside,503
drawn,503
chemical,502
absence,502
host,502
outcome,502
rapid,501
quickly,501
plate,501
amongst,500
businesses,499
closely,499
unlike,499
analyse,499
association,498
annual,498
perform,497
movements,497
says,496
places,496
examined,495
finding,495
rural,495
forward,495
otherwise,494
offered,494
selected,494
philosophy,493
legislation,493
green,492
confidence,492
density,492
evaluation,492
saw,492
gradient,492
ancient,492
starting,491
scope,491
discuss,491
hospitality,491
promote,490
agriculture,490
frequently,490
rational,490
discourse,490
numerous,489
weeks,489
effort,489
derived,489
race,489
engine,489
offers,488
programme,488
fat,488
poverty,488
published,487
chance,487
department,487
regarded,487
greatly,487
essentially,487
scheme,486
near,486
feeling,486
assumptions,486
referred,485
40,485
specifically,485
classical,485
stability,485
receive,484
wave,484
option,484
reflect,484
weak,484
governance,483
sequence,483
understood,482
signs,482
recognised,481
apart,481
raised,481
looked,481
entire,481
anything,479
enable,479
date,479
remained,479
exactly,479
consciousness,479
generated,478
record,478
someone,478
empirical,478
protect,477
bacteria,477
nor,477
refer,477
assets,476
neither,476
native,476
acquisition,476
secondary,475
regular,475
tools,475
indicated,474
demonstrated,474
measurements,474
detail,474
females,474
proportion,473
satisfaction,473
texts,473
budget,472
competitors,472
solutions,472
diagnosis,472
bias,472
german,471
assume,470
periods,470
fig,470
multiple,470
courts,470
adopted,469
responses,469
comparing,469
limit,469
cold,469
extension,468
infection,468
father,468
moving,467
economies,467
front,467
hospital,467
determining,466
treated,465
random,465
slavery,464
recently,464
leave,463
17,463
thinking,463
globalisation,463
considerable,463
visual,463
onto,463
police,462
rich,461
combined,460
normally,460
profits,459
revenue,459
radical,458
connection,458
church,457
contribute,457
19,457
operating,457
regulation,456
appeal,456
democratic,455
running,455
origin,455
plot,455
attitude,455
powers,455
leadership,455
coefficient,455
crime,455
flexibility,454
longterm,454
opposed,454
path,454
realism,454
implemented,453
difficulties,453
surrounding,453
asian,453
king,453
limitations,452
lies,450
categories,450
leader,450
independence,450
accounts,450
conclude,450
agents,449
parameters,449
advantages,448
creates,448
wealth,447
diagram,447
easier,447
affects,447
oxygen,447
subjects,447
appeared,446
gained,446
typical,446
paid,445
accessed,445
attack,444
break,443
links,443
attached,442
liberal,442
persons,442
indian,441
wanted,441
encourage,440
resource,440
statistics,439
intended,439
uncertainty,439
message,439
office,438
capable,438
feelings,438
phenomenon,437
doubt,437
wife,437
mrs,437
explains,436
discovered,436
participation,436
regulations,434
diversity,434
contained,434
depression,434
empire,434
helps,432
recognition,432
located,432
observation,432
molecules,432
survey,431
cognitive,431
assess,430
observations,430
survival,430
vol,430
minutes,430
went,429
theorem,429
sets,428
voice,428
acting,427
productivity,427
commitment,427
extreme,427
helped,426
wall,426
friends,426
technological,425
users,425
co,425
meat,424
characteristic,424
daily,424
call,424
linguistic,424
generate,423
agree,423
regression,423
involvement,423
displayed,423
bad,422
severe,422
drug,422
expect,422
obviously,421
equally,421
earth,420
trial,420
effectiveness,420
suppliers,420
brown,420
store,419
favour,419
illustrated,419
goal,419
academic,419
1981,418
authorities,418
facts,417
families,417
soon,416
skin,416
demands,416
conclusions,416
sections,416
involve,415
gdp,415
seemed,415
schools,415
category,415
conflicts,415
absolute,414
bodies,413
medium,413
validity,413
regime,412
ideology,412
noise,412
predicted,411
ethnic,411
heavily,411
morality,411
focused,410
difficulty,410
add,410
actors,410
conduct,409
equipment,409
cut,409
steps,409
angle,409
crop,408
elite,408
procedures,408
double,408
calculate,408
wind,408
consists,407
extensive,407
continuous,407
containing,406
underlying,405
immediately,405
universal,405
ethical,404
citizens,404
risks,404
urban,404
crops,404
populations,404
client,404
gap,404
reflected,404
demonstrates,404
amounts,404
constructed,404
ten,403
opposite,403
managed,402
1984,402
colonies,402
grow,402
studied,402
subsequent,402
demonstrate,401
suffering,400
carbon,400
23,400
closer,400
enter,400
corresponding,400
upper,399
music,399
delivery,398
perfect,398
sentence,398
ask,397
temperatures,397
spent,397
false,397
contribution,396
potentially,396
leaves,395
cancer,395
qualitative,395
collected,395
reliable,395
reflects,395
sure,395
worlds,394
quantity,394
bone,394
extended,394
atoms,394
express,393
highlighted,393
transition,393
tradition,393
purchase,392
presentation,392
consequence,392
intention,392
worked,392
board,392
identification,391
investigate,391
integrated,391
mechanisms,391
produces,391
varying,391
institutional,391
piece,391
gas,391
metal,391
w,390
technical,390
atom,390
60,389
functional,389
1979,389
measuring,389
scene,389
topic,389
joint,388
requirement,388
collective,388
vary,387
restricted,387
highlights,387
met,387
defence,386
advertising,386
whereby,386
talk,386
seek,386
boundary,386
enzyme,386
statements,386
teaching,386
older,385
interactions,385
calculations,385
reasoning,385
plc,385
channel,384
adequate,384
purposes,384
promotion,384
presents,384
leaving,384
parallel,384
positions,384
expenditure,383
square,383
advice,382
decreased,382
leaders,381
st,381
version,381
22,381
attributes,380
ec,380
overcome,380
decide,380
binding,380
tube,380
punishment,380
rely,379
entry,379
namely,379
post,379
liquid,378
flexible,378
passed,378
everyone,378
willing,377
worth,377
dimensions,377
strongly,377
particles,377
chapter,377
shareholders,377
efforts,376
meeting,376
speaker,376
everything,375
emotional,375
americans,375
faced,374
profile,374
substantial,374
collection,374
developments,374
dealing,374
check,374
probability,374
readers,374
stop,373
rome,373
ring,373
appearance,372
repeated,372
girls,372
greatest,371
spanish,371
schemes,370
valid,370
theme,370
capitalism,370
net,369
concluded,369
october,369
rapidly,369
notice,369
looks,369
write,369
generation,368
japanese,368
feminist,368
depth,367
intensity,367
unknown,367
historians,367
arise,366
atmosphere,366
limits,366
involving,366
boundaries,366
learners,366
eds,365
student,365
circuit,365
personality,365
descartes,365
draw,364
proof,364
bound,364
sounds,364
indicating,363
diseases,363
interested,363
influences,363
articles,363
professionals,362
height,362
husband,362
die,361
equilibrium,361
reports,361
acceptable,361
expensive,360
finance,360
aimed,360
claimed,360
mode,360
deep,360
fast,359
ph,359
illustrates,359
returns,359
adding,359
hotels,359
continues,358
recognise,358
additionally,358
played,358
barriers,358
credit,358
dont,357
turned,357
dark,357
industries,356
thereby,356
companys,356
qualities,356
enables,356
researcher,356
unions,356
fish,356
waste,356
membrane,356
adopt,355
spend,355
1980,355
sort,355
judge,355
diameter,354
tried,354
japan,354
1983,354
autonomy,354
cit,354
revealed,353
sensitive,353
percent,353
adult,353
doesnt,353
mixture,353
op,353
stay,352
maintaining,352
root,352
africa,352
encouraged,352
latin,352
monetary,352
myth,352
conservation,351
tissue,351
laboratory,351
organizations,350
april,350
block,350
establishment,349
eating,349
adjustment,349
wage,349
iron,349
conception,349
wants,348
spectrum,348
segment,348
hunting,348
nuclear,348
locke,348
maintained,347
typically,347
drop,347
clinical,347
formula,346
except,346
leisure,346
constraints,345
getting,345
pure,345
born,345
vast,345
logical,344
thomas,344
completed,344
interpreted,344
prepared,344
athens,344
conventional,343
investigated,343
speak,343
applications,343
illustrate,343
revolutionary,343
subsequently,343
feedback,343
driven,342
respond,342
nitrogen,342
hands,342
buy,341
landscape,341
supports,341
dynamic,341
2007,341
williams,341
writers,341
algorithm,341
cross,340
opinions,340
transformation,340
diverse,340
radiation,340
visible,340
sustainable,340
non,339
fail,338
addressed,338
universe,338
supporting,337
mostly,337
keeping,337
reduces,337
army,337
justified,336
coming,336
composition,336
desired,336
else,336
sees,336
organisms,335
sold,335
tell,335
straight,335
immediate,335
sought,335
improving,335
employers,335
raw,335
psychology,335
motion,335
rotation,334
justification,334
norms,334
molecular,334
tension,334
struggle,333
explaining,333
jobs,333
convention,333
fields,332
indirect,332
trends,332
emergence,332
eyes,332
ms,332
excess,331
farming,331
equality,331
saying,331
informed,330
cities,330
slow,330
secure,330
provision,330
replaced,330
export,330
evaluate,330
neolithic,330
nearly,329
choices,329
remaining,329
moved,329
dead,329
era,329
stories,329
begins,328
serve,328
intake,328
heavy,328
o,328
domain,328
president,328
relating,327
array,327
readings,327
crystal,327
equivalent,326
1973,326
plans,326
minimal,326
marked,326
hope,326
quantum,326
whom,325
storage,325
acceptance,325
calls,325
arguably,325
count,325
liability,325
equations,325
largest,324
agreed,324
modified,324
feels,324
operate,324
lay,324
reliability,324
herself,324
tree,323
broad,323
match,323
score,323
drag,323
occurring,322
estimate,322
wild,322
solve,322
calculation,322
torque,322
somewhat,321
advanced,321
communicate,321
resolution,321
didnt,321
literary,321
solid,320
sea,320
drive,320
evolutionary,320
theatre,320
unless,319
implement,319
manage,319
selling,319
valuable,319
focuses,319
slaves,319
suffered,318
affecting,318
ends,318
sphere,318
monitoring,317
exact,317
u,317
channels,316
chronic,316
opening,316
vision,316
digital,316
separation,316
depend,315
31,315
medicine,315
survive,314
mix,314
ensuring,314
speaking,314
molecule,314
workforce,314
file,314
healthy,313
map,313
graphs,313
package,313
mark,313
wish,312
constantly,312
regards,312
forest,312
complexity,312
funds,312
relate,312
opposition,312
sign,312
networks,312
inequalities,312
drugs,311
household,311
everyday,311
index,311
mortality,311
transferred,311
james,311
purely,311
soviet,311
thoughts,311
judicial,311
brief,310
quoted,310
superior,310
mechanical,310
options,309
blue,309
title,309
ac,309
reflection,309
tense,309
sum,308
identical,308
hydrogen,308
la,308
dramatic,308
decreases,307
split,307
closed,307
entity,307
systematic,306
answers,306
35,306
predict,306
varied,306
1978,306
dangerous,305
box,305
official,305
turnover,305
intellectual,305
sensitivity,305
contributed,305
rising,305
glass,304
complicated,304
decisionmaking,304
stresses,304
explore,304
truly,304
45,303
fresh,303
seven,303
representative,303
technologies,303
examining,303
fails,303
contrary,303
matters,303
solely,302
publishing,302
campaign,302
accurately,302
quantitative,302
wages,302
sent,302
committee,302
innovation,301
faster,301
currency,301
sensory,301
kant,301
speakers,301
sublime,301
availability,300
indication,300
bit,300
logic,300
naturally,299
eye,299
maybe,299
analysing,299
legitimate,299
robert,299
peace,299
accounting,298
attributed,298
raise,298
symbolic,298
stone,298
bond,298
films,298
falls,297
challenges,297
richard,297
referring,297
pass,297
problematic,297
ice,297
recommended,296
buildings,296
fight,296
trading,296
electronic,296
highlight,296
legitimacy,296
scientists,296
insight,296
holding,295
grown,294
differ,294
facilities,294
night,294
1977,294
breast,293
sell,293
mixed,293
socially,293
stand,293
intelligence,293
guidelines,292
monopoly,292
existed,292
signals,292
poetry,292
isolated,291
pulse,291
banks,290
applying,290
news,290
lowest,290
safe,290
database,290
committed,290
engineering,290
consent,290
loop,290
outcomes,289
entering,289
frequencies,289
occupation,288
lie,288
silence,288
mothers,287
vegetation,287
sampling,287
defines,287
sugar,287
dominance,287
remove,287
informal,287
teachers,286
tends,286
island,286
preferred,286
26,285
bridge,285
1982,285
necessity,285
losses,285
stored,285
confirmed,285
clients,285
debt,284
inherent,284
broken,284
shear,284
administration,283
covered,283
similarities,283
usa,283
comparative,283
soft,283
conversation,283
harm,282
payment,282
none,282
agency,282
programmes,282
enterprise,282
rejected,282
peaks,282
1976,282
street,282
release,282
magnetic,282
shop,281
80,281
virus,281
institution,281
cent,281
grounds,281
pump,281
magnitude,280
trees,280
reward,280
pointed,280
heating,280
guide,280
justify,280
settlement,280
mexico,280
promoting,279
eastern,279
prominent,279
synthesis,279
finds,279
stem,279
worker,279
plotted,279
tone,279
dry,278
suffer,278
construct,278
game,278
told,278
letter,278
abilities,278
road,277
undertaken,277
hierarchy,277
tendency,277
methodology,277
1980s,277
ago,277
device,277
surgery,277
possess,276
danger,276
interference,276
spending,276
adults,276
observe,276
flat,275
gradually,275
houses,275
28,275
unfortunately,275
monitor,275
precise,275
edge,275
friction,275
northern,274
prime,274
equity,274
electrical,274
inner,274
shares,274
drama,274
enhance,273
besides,273
hong,273
q,273
happen,273
taylor,273
seeking,273
republic,273
evil,273
controls,272
entered,272
altered,272
assuming,272
exposed,272
